username,date,post,location,hashtags,sentiment,engagement
tjohnson,2024-08-27,Exploring the beauty of Bali! 🧳,Bali,"#naturelovers, #travel2025, #wanderlust",Neutral,2073
arobinson,2023-09-06,Backpacking through Dharamshala has been a dream come true!,Dharamshala,#vacationvibes,Neutral,2539
suttonbrittney,2024-11-30,Santorini is calling... and I must go ✈️,Santorini,"#vacationvibes, #travel2025",Neutral,9363
wallssean,2024-07-18,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,#naturelovers,Positive,9436
steventerry,2024-04-21,Exploring the beauty of Santorini! 🧳,Santorini,#travelgram,Positive,5812
@globetrotter77,2024-07-30,Can't get enough of Rome 😍 #wanderlust,Rome,#naturelovers,Neutral,2637
cthompson,2024-02-07,Exploring the beauty of Tokyo! 🧳,Tokyo,#vacationvibes,Negative,5614
billburke,2024-05-21,Cape Town is calling... and I must go ✈️,Cape Town,"#travel2025, #travelgram, #wanderlust",Positive,2421
mcdanieltanya,2023-08-23,Sunsets in Cape Town hit different 🌅,Cape Town,#travelgram,Positive,782
timothywright,2024-04-20,Backpacking through Manali has been a dream come true!,Manali,"#wanderlust, #travel2025, #travelgram",Negative,6277
kelseywilliams,2023-11-13,Sunsets in Bali hit different 🌅,Bali,"#wanderlust, #travel2025, #naturelovers",Positive,5925
matthewvega,2025-04-11,New York is calling... and I must go ✈️,New York,"#vacationvibes, #naturelovers",Neutral,5638
cperez,2025-03-13,Backpacking through Bali has been a dream come true!,Bali,#travelgram,Negative,9625
garciadonald,2025-01-20,Sunsets in Amsterdam hit different 🌅,Amsterdam,"#vacationvibes, #travelgram",Positive,6422
kimmichael,2024-12-18,Sunsets in Manali hit different 🌅,Manali,"#travel2025, #naturelovers",Positive,8383
hsmith,2025-05-22,Amsterdam is calling... and I must go ✈️,Amsterdam,"#vacationvibes, #travelgram, #travel2025",Neutral,3943
cynthia16,2024-06-26,Can't get enough of Santorini 😍 #wanderlust,Santorini,"#wanderlust, #vacationvibes",Neutral,2311
ramirezangela,2024-05-17,Exploring the beauty of Cape Town! 🧳,Cape Town,#wanderlust,Neutral,9159
brownjose,2024-11-22,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#vacationvibes, #travelgram",Neutral,1354
thomas83,2025-05-29,Backpacking through Cape Town has been a dream come true!,Cape Town,#travel2025,Positive,2036
davidmartin,2024-09-10,Backpacking through New York has been a dream come true!,New York,"#travelgram, #travel2025, #naturelovers",Positive,4798
elizabethgriffin,2024-08-22,Exploring the beauty of New York! 🧳,New York,"#wanderlust, #travelgram, #travel2025",Neutral,5975
angela71,2025-02-27,Sunsets in Paris hit different 🌅,Paris,"#travel2025, #naturelovers",Positive,6748
brandiwilson,2023-07-25,Can't get enough of Rome 😍 #wanderlust,Rome,"#wanderlust, #travelgram, #vacationvibes",Positive,6502
jamesevans,2025-01-24,Exploring the beauty of Rome! 🧳,Rome,"#travelgram, #vacationvibes, #naturelovers",Positive,5485
dsmith,2024-07-25,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#travel2025, #travelgram, #vacationvibes",Negative,3090
rodriguezelizabeth,2024-09-21,Backpacking through Tokyo has been a dream come true!,Tokyo,#naturelovers,Negative,1865
@eco.backpacker,2024-02-28,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,#travel2025,Positive,8475
michellesolis,2023-11-18,Manali is calling... and I must go ✈️,Manali,"#travelgram, #vacationvibes, #travel2025",Negative,8281
nmendoza,2023-09-09,Backpacking through Bali has been a dream come true!,Bali,"#travelgram, #naturelovers",Neutral,4454
paulschultz,2024-08-18,Backpacking through New York has been a dream come true!,New York,"#naturelovers, #vacationvibes",Positive,5905
thomasdavid,2024-07-25,Exploring the beauty of Paris! 🧳,Paris,"#travelgram, #naturelovers",Neutral,9875
michellejones,2024-07-27,Backpacking through Tokyo has been a dream come true!,Tokyo,"#naturelovers, #vacationvibes, #travel2025",Positive,4579
knightjohn,2025-01-30,Exploring the beauty of Santorini! 🧳,Santorini,"#travelgram, #vacationvibes, #naturelovers",Negative,7071
xfranco,2025-06-22,Sunsets in Rome hit different 🌅,Rome,#wanderlust,Neutral,7003
mariarussell,2025-01-29,Sunsets in New York hit different 🌅,New York,#travelgram,Neutral,5264
uwilliams,2025-02-20,Sunsets in Santorini hit different 🌅,Santorini,"#vacationvibes, #travelgram, #wanderlust",Neutral,9861
qjohnson,2025-01-09,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#wanderlust, #naturelovers, #travelgram",Negative,8312
peter93,2025-01-26,Exploring the beauty of Tokyo! 🧳,Tokyo,#vacationvibes,Neutral,1456
timothyavery,2024-07-24,Backpacking through Manali has been a dream come true!,Manali,"#travel2025, #naturelovers",Negative,8640
wlucas,2024-10-30,Backpacking through New York has been a dream come true!,New York,"#travel2025, #travelgram, #vacationvibes",Neutral,6770
@wander.jane,2024-07-15,Exploring the beauty of Amsterdam! 🧳,Amsterdam,"#naturelovers, #travelgram, #travel2025",Neutral,8342
reynoldsanthony,2023-08-15,Sunsets in Bali hit different 🌅,Bali,#travel2025,Positive,132
bushkimberly,2025-02-14,Sunsets in Santorini hit different 🌅,Santorini,#vacationvibes,Neutral,8684
woodphillip,2024-06-19,Dharamshala is calling... and I must go ✈️,Dharamshala,"#vacationvibes, #wanderlust, #travel2025",Positive,308
kevin89,2024-03-05,Can't get enough of Manali 😍 #wanderlust,Manali,"#travel2025, #vacationvibes, #wanderlust",Neutral,4429
melissa78,2024-07-07,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#travel2025, #wanderlust",Neutral,6523
stodd,2024-09-24,Backpacking through New York has been a dream come true!,New York,"#wanderlust, #naturelovers, #travelgram",Neutral,5768
taylordavis,2024-07-09,Dharamshala is calling... and I must go ✈️,Dharamshala,"#travel2025, #travelgram, #vacationvibes",Positive,5905
amanda91,2024-01-06,Can't get enough of Manali 😍 #wanderlust,Manali,"#travel2025, #wanderlust, #travelgram",Positive,5293
sarah49,2024-07-27,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,#travel2025,Positive,3614
lawrencebullock,2025-05-29,Sunsets in Cape Town hit different 🌅,Cape Town,"#vacationvibes, #travelgram",Positive,7354
ashleebailey,2024-02-17,Backpacking through Amsterdam has been a dream come true!,Amsterdam,#vacationvibes,Neutral,9267
margaretholmes,2024-05-09,Exploring the beauty of Cape Town! 🧳,Cape Town,"#naturelovers, #wanderlust, #travel2025",Positive,2559
joseph63,2025-02-10,Sunsets in Cape Town hit different 🌅,Cape Town,"#wanderlust, #travelgram",Neutral,3425
leahbarker,2023-11-19,Santorini is calling... and I must go ✈️,Santorini,"#naturelovers, #travel2025",Positive,4056
jennifer85,2023-11-30,Sunsets in Amsterdam hit different 🌅,Amsterdam,"#naturelovers, #vacationvibes, #travel2025",Positive,6263
lperkins,2023-09-24,Backpacking through Manali has been a dream come true!,Manali,#vacationvibes,Positive,4364
danielle39,2025-02-27,Sunsets in Paris hit different 🌅,Paris,#vacationvibes,Positive,1718
isaac75,2024-01-01,Manali is calling... and I must go ✈️,Manali,"#travel2025, #naturelovers, #travelgram",Positive,930
rwashington,2025-06-18,Rome is calling... and I must go ✈️,Rome,"#travel2025, #travelgram, #wanderlust",Positive,7649
jmedina,2024-01-08,Exploring the beauty of Rome! 🧳,Rome,#wanderlust,Positive,4183
kingtammy,2025-03-17,Rome is calling... and I must go ✈️,Rome,#travelgram,Neutral,1225
msmith,2025-03-16,Backpacking through New York has been a dream come true!,New York,"#travel2025, #naturelovers",Positive,8249
sarah78,2024-09-20,Manali is calling... and I must go ✈️,Manali,"#wanderlust, #travel2025",Positive,8042
william63,2024-01-17,Exploring the beauty of New York! 🧳,New York,"#naturelovers, #travelgram",Negative,3556
jarviscourtney,2024-07-09,Sunsets in Cape Town hit different 🌅,Cape Town,#travel2025,Negative,6159
alvarezpaul,2023-09-25,Backpacking through Manali has been a dream come true!,Manali,#naturelovers,Neutral,8012
herbertward,2025-03-08,Sunsets in Cape Town hit different 🌅,Cape Town,"#travelgram, #wanderlust",Neutral,2595
williamschad,2023-09-16,Sunsets in Amsterdam hit different 🌅,Amsterdam,"#wanderlust, #travel2025, #vacationvibes",Positive,4997
david16,2023-12-01,Exploring the beauty of Rome! 🧳,Rome,"#wanderlust, #vacationvibes",Positive,9764
vanceashley,2023-07-02,Exploring the beauty of Rome! 🧳,Rome,"#vacationvibes, #naturelovers",Neutral,4073
@globetrotter77,2024-01-26,Exploring the beauty of New York! 🧳,New York,"#travelgram, #naturelovers, #vacationvibes",Positive,8230
russell33,2024-10-17,Sunsets in New York hit different 🌅,New York,"#vacationvibes, #wanderlust, #naturelovers",Positive,6411
sarah53,2023-10-20,Exploring the beauty of Santorini! 🧳,Santorini,#vacationvibes,Positive,694
spencerlevi,2023-12-12,Santorini is calling... and I must go ✈️,Santorini,"#wanderlust, #vacationvibes, #travel2025",Positive,9464
lindabryan,2023-11-29,Bali is calling... and I must go ✈️,Bali,"#vacationvibes, #travel2025, #travelgram",Positive,6568
bestchristopher,2025-01-20,Exploring the beauty of Tokyo! 🧳,Tokyo,"#travelgram, #travel2025, #naturelovers",Positive,9640
lisa11,2024-01-02,Dharamshala is calling... and I must go ✈️,Dharamshala,"#travel2025, #travelgram",Negative,8025
dwalker,2024-10-10,Sunsets in Paris hit different 🌅,Paris,"#travelgram, #vacationvibes, #wanderlust",Positive,2226
patricialowery,2024-01-28,Backpacking through Amsterdam has been a dream come true!,Amsterdam,#travelgram,Neutral,3826
smithemily,2024-05-28,Exploring the beauty of Manali! 🧳,Manali,#naturelovers,Positive,822
ogriffin,2023-09-10,Cape Town is calling... and I must go ✈️,Cape Town,"#travel2025, #vacationvibes",Neutral,3764
ortizsean,2023-10-19,Dharamshala is calling... and I must go ✈️,Dharamshala,"#travel2025, #travelgram, #naturelovers",Neutral,6833
wjefferson,2024-04-15,Exploring the beauty of Rome! 🧳,Rome,"#travelgram, #wanderlust, #vacationvibes",Neutral,230
weaverjoseph,2025-05-09,Bali is calling... and I must go ✈️,Bali,"#travel2025, #travelgram, #vacationvibes",Positive,2562
hkim,2024-03-16,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#travel2025, #travelgram, #wanderlust",Negative,3937
andrew89,2024-04-21,Backpacking through Rome has been a dream come true!,Rome,"#wanderlust, #travel2025",Negative,8620
xobrien,2023-10-15,Dharamshala is calling... and I must go ✈️,Dharamshala,"#wanderlust, #naturelovers, #vacationvibes",Neutral,2773
burkeholly,2024-04-13,Sunsets in Santorini hit different 🌅,Santorini,"#travel2025, #travelgram, #wanderlust",Neutral,1822
kristinclark,2024-02-24,Cape Town is calling... and I must go ✈️,Cape Town,"#naturelovers, #travel2025, #vacationvibes",Neutral,6510
richard34,2025-05-22,Manali is calling... and I must go ✈️,Manali,"#travelgram, #vacationvibes",Negative,3013
nicolasrich,2023-07-13,Sunsets in Manali hit different 🌅,Manali,"#travelgram, #wanderlust",Positive,8771
debbiebrown,2024-12-29,Exploring the beauty of Manali! 🧳,Manali,#vacationvibes,Negative,349
pricemichael,2024-04-15,Can't get enough of Manali 😍 #wanderlust,Manali,#travel2025,Positive,8895
henryjennifer,2025-05-31,Backpacking through Santorini has been a dream come true!,Santorini,#vacationvibes,Neutral,8454
qdavis,2024-03-21,Exploring the beauty of New York! 🧳,New York,"#travelgram, #vacationvibes, #wanderlust",Positive,2766
josephbuck,2024-01-12,Exploring the beauty of Bali! 🧳,Bali,"#naturelovers, #travel2025",Positive,1027
omoore,2025-04-18,Exploring the beauty of Santorini! 🧳,Santorini,#vacationvibes,Positive,6426
meghanwerner,2024-04-03,Can't get enough of Bali 😍 #wanderlust,Bali,#naturelovers,Positive,4819
hodgeschristopher,2025-06-05,Rome is calling... and I must go ✈️,Rome,#naturelovers,Positive,7966
christopherdominguez,2023-08-02,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#travel2025, #vacationvibes, #naturelovers",Positive,92
christian47,2023-10-18,Rome is calling... and I must go ✈️,Rome,"#vacationvibes, #wanderlust, #travelgram",Positive,8225
donald64,2025-05-01,Exploring the beauty of Tokyo! 🧳,Tokyo,"#naturelovers, #vacationvibes",Positive,1737
jeremycollins,2024-08-02,Amsterdam is calling... and I must go ✈️,Amsterdam,"#travel2025, #wanderlust, #vacationvibes",Negative,6392
hallchristopher,2023-08-04,Sunsets in New York hit different 🌅,New York,"#travelgram, #vacationvibes",Positive,1415
keithharrison,2024-05-18,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#travel2025, #wanderlust",Positive,9374
joelmorton,2023-11-23,Backpacking through Bali has been a dream come true!,Bali,"#vacationvibes, #wanderlust, #naturelovers",Positive,1925
jonescraig,2025-03-20,Cape Town is calling... and I must go ✈️,Cape Town,"#wanderlust, #naturelovers, #travelgram",Positive,9202
amandamaxwell,2024-08-27,Exploring the beauty of Cape Town! 🧳,Cape Town,#vacationvibes,Negative,6460
jennifer28,2025-06-18,Exploring the beauty of Rome! 🧳,Rome,"#travelgram, #travel2025",Positive,4090
johnsmith,2025-04-19,Backpacking through Santorini has been a dream come true!,Santorini,#vacationvibes,Neutral,5635
katiepalmer,2023-07-11,Tokyo is calling... and I must go ✈️,Tokyo,#travel2025,Positive,460
longgary,2024-06-23,Backpacking through Amsterdam has been a dream come true!,Amsterdam,"#travelgram, #naturelovers",Positive,9937
meghanallen,2024-10-10,Can't get enough of Paris 😍 #wanderlust,Paris,"#naturelovers, #travel2025",Neutral,3197
audrey47,2024-01-01,Exploring the beauty of Cape Town! 🧳,Cape Town,#vacationvibes,Positive,5395
hthompson,2024-12-30,Santorini is calling... and I must go ✈️,Santorini,"#travelgram, #naturelovers",Positive,5705
fernandoobrien,2023-07-27,Exploring the beauty of Santorini! 🧳,Santorini,#wanderlust,Positive,1498
mcgrathderek,2024-02-03,Backpacking through Tokyo has been a dream come true!,Tokyo,#travel2025,Positive,8458
frice,2024-12-02,Cape Town is calling... and I must go ✈️,Cape Town,"#naturelovers, #wanderlust, #vacationvibes",Positive,9927
upierce,2024-05-03,Exploring the beauty of Rome! 🧳,Rome,"#vacationvibes, #wanderlust",Negative,3199
hhayden,2024-03-25,Sunsets in Bali hit different 🌅,Bali,"#naturelovers, #vacationvibes",Negative,5021
hwalton,2025-06-21,Can't get enough of Santorini 😍 #wanderlust,Santorini,"#vacationvibes, #wanderlust",Positive,4201
fjackson,2023-10-01,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#naturelovers, #travelgram, #wanderlust",Positive,4291
clarkcarol,2024-04-05,Backpacking through Santorini has been a dream come true!,Santorini,"#vacationvibes, #naturelovers",Positive,1043
darrell66,2024-04-12,Bali is calling... and I must go ✈️,Bali,"#travel2025, #travelgram",Positive,9669
@globetrotter77,2023-11-26,Can't get enough of Rome 😍 #wanderlust,Rome,#vacationvibes,Neutral,2950
lewiskimberly,2025-01-27,Backpacking through New York has been a dream come true!,New York,"#vacationvibes, #travelgram",Negative,4375
shannongarza,2025-02-03,Exploring the beauty of Manali! 🧳,Manali,#travelgram,Positive,757
deborahturner,2023-12-31,Sunsets in Cape Town hit different 🌅,Cape Town,"#vacationvibes, #travel2025, #wanderlust",Positive,6390
allenperez,2024-05-31,Sunsets in Bali hit different 🌅,Bali,"#travel2025, #vacationvibes",Positive,9612
tommy77,2024-04-08,Backpacking through Manali has been a dream come true!,Manali,"#travelgram, #vacationvibes, #travel2025",Neutral,889
stevenperry,2023-08-03,Backpacking through Rome has been a dream come true!,Rome,"#vacationvibes, #travelgram",Negative,5802
stacieprince,2025-06-10,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#travel2025, #vacationvibes",Positive,9497
phillipsbrian,2024-06-20,Sunsets in Paris hit different 🌅,Paris,"#travelgram, #naturelovers, #vacationvibes",Positive,220
@vibecheck_travel,2023-08-24,Backpacking through Cape Town has been a dream come true!,Cape Town,"#vacationvibes, #travelgram",Neutral,6258
michael88,2024-06-29,Backpacking through Cape Town has been a dream come true!,Cape Town,#vacationvibes,Positive,6763
villamisty,2024-07-01,Amsterdam is calling... and I must go ✈️,Amsterdam,#naturelovers,Neutral,7270
gomezjames,2025-06-10,Rome is calling... and I must go ✈️,Rome,"#travelgram, #vacationvibes, #wanderlust",Neutral,9306
alexgarcia,2025-01-23,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#travel2025, #vacationvibes",Positive,7325
brian83,2024-10-26,Exploring the beauty of Santorini! 🧳,Santorini,#vacationvibes,Neutral,2068
@eco.backpacker,2025-03-06,Backpacking through Tokyo has been a dream come true!,Tokyo,"#vacationvibes, #travel2025, #wanderlust",Neutral,2801
ureed,2024-02-01,Can't get enough of New York 😍 #wanderlust,New York,#travel2025,Positive,4012
brent89,2023-09-28,Can't get enough of Bali 😍 #wanderlust,Bali,#naturelovers,Positive,4636
bblake,2025-02-07,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#wanderlust, #vacationvibes",Positive,3762
estradaamy,2025-01-26,Bali is calling... and I must go ✈️,Bali,"#travelgram, #travel2025, #wanderlust",Positive,6469
lutzeric,2025-03-26,Can't get enough of Manali 😍 #wanderlust,Manali,"#travelgram, #wanderlust, #vacationvibes",Positive,845
trivera,2024-05-31,Bali is calling... and I must go ✈️,Bali,"#travelgram, #naturelovers",Positive,5631
douglas31,2024-10-16,Exploring the beauty of Paris! 🧳,Paris,#naturelovers,Neutral,8574
ohill,2023-07-27,Sunsets in Bali hit different 🌅,Bali,#travelgram,Positive,2395
turnerstephanie,2023-11-23,Exploring the beauty of Amsterdam! 🧳,Amsterdam,"#travel2025, #vacationvibes",Positive,2212
ahudson,2025-03-06,Sunsets in Manali hit different 🌅,Manali,#vacationvibes,Positive,7001
@eco.backpacker,2025-06-05,Backpacking through Amsterdam has been a dream come true!,Amsterdam,"#vacationvibes, #naturelovers, #wanderlust",Neutral,2180
@wander.jane,2025-04-22,Exploring the beauty of Tokyo! 🧳,Tokyo,#wanderlust,Negative,5391
bakertimothy,2023-08-15,Amsterdam is calling... and I must go ✈️,Amsterdam,"#travel2025, #naturelovers",Positive,8643
taylorzavala,2025-06-12,Can't get enough of Rome 😍 #wanderlust,Rome,"#vacationvibes, #travel2025, #travelgram",Positive,5124
qwilson,2024-06-15,Sunsets in Cape Town hit different 🌅,Cape Town,"#travel2025, #wanderlust",Positive,6477
christina57,2024-01-11,Sunsets in New York hit different 🌅,New York,#vacationvibes,Positive,3044
crystal58,2023-10-23,Backpacking through Amsterdam has been a dream come true!,Amsterdam,"#wanderlust, #vacationvibes, #naturelovers",Positive,727
linda33,2025-03-18,Backpacking through Tokyo has been a dream come true!,Tokyo,"#travelgram, #naturelovers",Neutral,397
hamiltonjoseph,2025-06-24,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,"#wanderlust, #naturelovers, #travelgram",Negative,6055
victor60,2024-09-26,Exploring the beauty of New York! 🧳,New York,"#travelgram, #vacationvibes",Neutral,1166
laurie41,2025-03-26,Sunsets in Bali hit different 🌅,Bali,"#vacationvibes, #travel2025",Negative,343
angelarichard,2023-12-12,Sunsets in Santorini hit different 🌅,Santorini,#vacationvibes,Neutral,4192
stevenhernandez,2023-09-09,Can't get enough of New York 😍 #wanderlust,New York,#travel2025,Negative,7935
robert66,2024-09-07,Sunsets in Amsterdam hit different 🌅,Amsterdam,"#naturelovers, #travel2025",Positive,6152
kerry32,2024-10-20,Amsterdam is calling... and I must go ✈️,Amsterdam,#travel2025,Neutral,8813
qfry,2023-08-15,Bali is calling... and I must go ✈️,Bali,#wanderlust,Negative,9788
sara06,2024-05-05,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,#vacationvibes,Positive,8758
@wander.jane,2023-07-18,Backpacking through Manali has been a dream come true!,Manali,"#wanderlust, #vacationvibes, #naturelovers",Positive,9315
sharon14,2023-12-25,Dharamshala is calling... and I must go ✈️,Dharamshala,"#vacationvibes, #travel2025, #wanderlust",Neutral,9412
fkoch,2025-06-14,Exploring the beauty of Tokyo! 🧳,Tokyo,#naturelovers,Positive,5830
zchapman,2024-05-24,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,#travel2025,Negative,111
justinbishop,2023-10-31,Backpacking through New York has been a dream come true!,New York,"#travel2025, #vacationvibes, #travelgram",Positive,1739
erik59,2024-04-12,Backpacking through Manali has been a dream come true!,Manali,"#travelgram, #naturelovers, #wanderlust",Positive,9951
garciachristopher,2025-01-17,Exploring the beauty of Rome! 🧳,Rome,"#naturelovers, #travel2025",Negative,7695
hernandezroy,2025-05-21,Manali is calling... and I must go ✈️,Manali,"#wanderlust, #travelgram",Negative,7713
michaellaura,2024-12-17,Backpacking through Paris has been a dream come true!,Paris,"#travel2025, #vacationvibes",Positive,8522
victoriasmith,2023-11-09,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#wanderlust, #travel2025, #vacationvibes",Neutral,7747
andersontonya,2024-04-04,Can't get enough of Rome 😍 #wanderlust,Rome,"#vacationvibes, #naturelovers, #travel2025",Positive,4917
elizabeth10,2023-10-31,Sunsets in Paris hit different 🌅,Paris,#travelgram,Negative,7626
mark09,2023-08-27,Amsterdam is calling... and I must go ✈️,Amsterdam,#naturelovers,Negative,7857
mendezlori,2023-11-21,Sunsets in Santorini hit different 🌅,Santorini,"#travelgram, #travel2025",Negative,754
pennyholloway,2024-07-09,Backpacking through Tokyo has been a dream come true!,Tokyo,"#wanderlust, #travel2025, #vacationvibes",Negative,4913
adamskelly,2025-04-05,Sunsets in Tokyo hit different 🌅,Tokyo,"#naturelovers, #vacationvibes",Negative,866
deckerjustin,2023-08-14,Sunsets in Cape Town hit different 🌅,Cape Town,#naturelovers,Positive,7962
qobrien,2023-10-25,Paris is calling... and I must go ✈️,Paris,"#travel2025, #travelgram",Negative,2317
crawfordjeffrey,2024-01-31,Sunsets in Tokyo hit different 🌅,Tokyo,"#naturelovers, #travel2025",Negative,9873
longmatthew,2023-10-29,Exploring the beauty of Paris! 🧳,Paris,"#wanderlust, #travelgram, #vacationvibes",Negative,5490
wpatrick,2024-07-24,Tokyo is calling... and I must go ✈️,Tokyo,#wanderlust,Negative,7588
kelly66,2025-03-12,Can't get enough of Tokyo 😍 #wanderlust,Tokyo,"#travelgram, #wanderlust",Positive,5428
lauraboone,2024-11-23,Backpacking through Dharamshala has been a dream come true!,Dharamshala,#wanderlust,Neutral,2112
jason72,2024-12-22,Can't get enough of Cape Town 😍 #wanderlust,Cape Town,#travelgram,Neutral,4521
benjaminbrown,2025-05-04,Sunsets in Rome hit different 🌅,Rome,#travel2025,Positive,5342
hernandezwhitney,2023-09-30,Cape Town is calling... and I must go ✈️,Cape Town,"#vacationvibes, #naturelovers, #travel2025",Neutral,5832
jennifercampbell,2024-03-09,Backpacking through Paris has been a dream come true!,Paris,#travel2025,Positive,2729
beth76,2024-05-08,New York is calling... and I must go ✈️,New York,"#travel2025, #vacationvibes, #naturelovers",Positive,2397
spearselizabeth,2024-11-27,Backpacking through Cape Town has been a dream come true!,Cape Town,#naturelovers,Positive,960
sharon37,2024-11-15,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#vacationvibes, #wanderlust",Negative,4983
diazpeter,2024-03-19,Tokyo is calling... and I must go ✈️,Tokyo,"#vacationvibes, #travel2025, #travelgram",Neutral,910
williamsmaureen,2025-03-10,Can't get enough of New York 😍 #wanderlust,New York,"#travel2025, #wanderlust, #naturelovers",Neutral,1052
perry77,2024-11-17,Dharamshala is calling... and I must go ✈️,Dharamshala,"#travelgram, #travel2025",Neutral,3837
ubowers,2024-06-08,Cape Town is calling... and I must go ✈️,Cape Town,"#wanderlust, #travelgram, #travel2025",Negative,9715
lisamcgee,2024-12-25,Sunsets in Tokyo hit different 🌅,Tokyo,#naturelovers,Positive,5528
wbarrett,2024-09-07,Can't get enough of Rome 😍 #wanderlust,Rome,#naturelovers,Positive,372
adrianlogan,2024-01-05,Can't get enough of Rome 😍 #wanderlust,Rome,"#travelgram, #travel2025",Neutral,3461
vdavis,2023-10-18,Can't get enough of Bali 😍 #wanderlust,Bali,#vacationvibes,Positive,2549
hensonjohn,2024-10-06,New York is calling... and I must go ✈️,New York,"#wanderlust, #travelgram",Positive,2626
mkrueger,2025-01-04,Can't get enough of Bali 😍 #wanderlust,Bali,#travelgram,Positive,6599
roberttownsend,2024-10-27,Can't get enough of Bali 😍 #wanderlust,Bali,#travel2025,Positive,8036
jennifer95,2024-03-12,Sunsets in Santorini hit different 🌅,Santorini,"#travelgram, #vacationvibes",Positive,4420
garciakelsey,2024-07-18,Sunsets in Bali hit different 🌅,Bali,#travel2025,Negative,4951
jasoncook,2024-11-17,Manali is calling... and I must go ✈️,Manali,"#wanderlust, #naturelovers",Positive,6149
alyssa89,2024-10-12,Can't get enough of Santorini 😍 #wanderlust,Santorini,"#travel2025, #wanderlust",Negative,1284
ryandodson,2025-03-07,Exploring the beauty of Cape Town! 🧳,Cape Town,#travelgram,Negative,3707
gibsonjennifer,2024-08-22,Backpacking through New York has been a dream come true!,New York,"#wanderlust, #vacationvibes",Positive,5195
amber70,2024-01-31,Manali is calling... and I must go ✈️,Manali,#vacationvibes,Positive,8486
andrew91,2024-06-27,Sunsets in Tokyo hit different 🌅,Tokyo,"#travel2025, #wanderlust",Neutral,6775
mhickman,2024-09-11,Exploring the beauty of Tokyo! 🧳,Tokyo,"#naturelovers, #travelgram, #vacationvibes",Positive,201
sandradavenport,2023-12-15,Bali is calling... and I must go ✈️,Bali,"#wanderlust, #travelgram",Positive,5201
pbaker,2025-04-16,Backpacking through Cape Town has been a dream come true!,Cape Town,"#vacationvibes, #travelgram, #naturelovers",Neutral,7596
montoyaelizabeth,2024-09-17,Sunsets in Santorini hit different 🌅,Santorini,#travel2025,Neutral,8326
ralph08,2023-12-20,Backpacking through Bali has been a dream come true!,Bali,#wanderlust,Positive,6891
walkerlorraine,2023-12-27,Exploring the beauty of Santorini! 🧳,Santorini,"#travel2025, #naturelovers, #vacationvibes",Neutral,9180
dsmith,2023-08-23,Backpacking through Santorini has been a dream come true!,Santorini,"#travel2025, #wanderlust, #naturelovers",Neutral,1927
amanda86,2023-07-07,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#naturelovers, #wanderlust, #travel2025",Negative,8826
kayla07,2024-09-17,Exploring the beauty of Manali! 🧳,Manali,"#travelgram, #vacationvibes, #naturelovers",Positive,626
amandatran,2025-02-19,Cape Town is calling... and I must go ✈️,Cape Town,"#vacationvibes, #travel2025",Positive,611
@eco.backpacker,2024-04-22,Bali is calling... and I must go ✈️,Bali,#vacationvibes,Positive,1889
gregory30,2024-12-08,New York is calling... and I must go ✈️,New York,#travel2025,Positive,4682
pmiller,2024-01-01,Bali is calling... and I must go ✈️,Bali,"#travel2025, #wanderlust, #travelgram",Positive,9940
ismith,2025-06-17,Backpacking through Rome has been a dream come true!,Rome,"#naturelovers, #travelgram, #wanderlust",Neutral,4703
gary44,2024-05-12,Backpacking through Cape Town has been a dream come true!,Cape Town,#vacationvibes,Positive,6399
rebeccaharris,2023-10-30,Sunsets in Rome hit different 🌅,Rome,"#wanderlust, #vacationvibes, #travel2025",Positive,7413
connor44,2024-08-19,Exploring the beauty of Manali! 🧳,Manali,"#travelgram, #vacationvibes, #wanderlust",Positive,7113
joneseric,2023-09-27,Sunsets in Bali hit different 🌅,Bali,"#naturelovers, #travelgram, #travel2025",Positive,1514
@wander.jane,2025-02-12,Exploring the beauty of Amsterdam! 🧳,Amsterdam,"#vacationvibes, #travel2025, #travelgram",Negative,2256
tammy17,2024-03-13,Backpacking through Manali has been a dream come true!,Manali,"#vacationvibes, #travelgram",Neutral,7745
masonmary,2024-08-13,Rome is calling... and I must go ✈️,Rome,#wanderlust,Neutral,8162
